Region,Country,Target,Indicator Number,Indicator Name,Year,Value,Metadata
Sub-Saharan Africa,Angola,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2018,5.41,SOURCE:  ORCAMENTO GERAL DO ESTADO | 2018 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/zmlu/mdu3/~edisp/minfin057174.pdf)
Sub-Saharan Africa,Angola,4.1,4.1.2,"Completion rate, primary education, female (%)",2020,59.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Sub-Saharan Africa,Angola,4.1,4.1.2,"Completion rate, primary education, male (%)",2020,58.30,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Sub-Saharan Africa,Angola,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2014,2.93,"SOURCE: WB-Boost; downloaded from https://dataviz.worldbank.org/t/BOOST/authoring/CrossCountryInterfacev2/Dashboard1 on 10 August 2023; Coverage: General Government; budgettype: Spending in education; Amount calculated by summing expenditures of all levels of General Government, under func1 category ""04 Educacao""."
Sub-Saharan Africa,Angola,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2016,2.75,SOURCE:  ORCAMENTO GERAL DO ESTADO | 2016 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/zmlu/mdm0/~edisp/minfin034916.pdf)
Sub-Saharan Africa,Angola,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2021,6.92,SOURCE:  ORCAMENTO GERAL DO ESTADO | 2021 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/aw4x/mjcw/~edisp/minfin1270854.pdf)
Sub-Saharan Africa,Angola,4.2,4.2.4,"Net enrolment rate, early childhood education, both sexes (%)",2016,32.68,
Sub-Saharan Africa,Angola,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2019,57.80,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Sub-Saharan Africa,Angola,4.1,4.1.2,"Completion rate, primary education, female (%)",2015,56.73,SOURCE: Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.
Sub-Saharan Africa,Angola,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2020,6.47,SOURCE:  ORCAMENTO GERAL DO ESTADO | 2020 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/aw4x/mjcw/~edisp/minfin1270875.pdf)
Sub-Saharan Africa,Angola,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2017,6.76,SOURCE:  ORCAMENTO GERAL DO ESTADO | 2017 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/zmlu/mdm0/~edisp/minfin034910.pdf)
Sub-Saharan Africa,Angola,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2014,7.13,"SOURCE: WB-Boost; downloaded from https://dataviz.worldbank.org/t/BOOST/authoring/CrossCountryInterfacev2/Dashboard1 on 10 August 2023; Coverage: General Government; budgettype: Spending in education; Amount calculated by summing expenditures of all levels of General Government, under func1 category ""04 Educacao""."
Sub-Saharan Africa,Angola,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2018,2.04,SOURCE:  ORCAMENTO GERAL DO ESTADO | 2018 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/zmlu/mdu3/~edisp/minfin057174.pdf)
Sub-Saharan Africa,Angola,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2015,3.10,"SOURCE: WB-Boost; downloaded from https://dataviz.worldbank.org/t/BOOST/authoring/CrossCountryInterfacev2/Dashboard1 on 10 August 2023; Coverage: General Government; budgettype: Spending in education; Amount calculated by summing expenditures of all levels of General Government, under func1 category ""04 Educacao""."
Sub-Saharan Africa,Angola,4.1,4.1.2,"Completion rate, primary education, male (%)",2018,57.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Sub-Saharan Africa,Angola,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2018,56.70,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Sub-Saharan Africa,Angola,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2013,3.87,"SOURCE: WB-Boost; downloaded from https://dataviz.worldbank.org/t/BOOST/authoring/CrossCountryInterfacev2/Dashboard1 on 10 August 2023; Coverage: General Government; budgettype: Spending in education; Amount calculated by summing expenditures of all levels of General Government, under func1 category ""04 Educacao""."
Sub-Saharan Africa,Angola,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2019,6.05,SOURCE:  ORCAMENTO GERAL DO ESTADO | 2019 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/aw4x/mtqy/~edisp/minfin1142298.pdf)
Sub-Saharan Africa,Angola,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2022,6.64,SOURCE:  ORCAMENTO GERAL DO ESTADO | 2022 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/aw4x/mjcw/~edisp/minfin1270854.pdf)
Sub-Saharan Africa,Angola,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2019,2.07,SOURCE:  ORCAMENTO GERAL DO ESTADO | 2019 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/aw4x/mtqy/~edisp/minfin1142298.pdf)
Sub-Saharan Africa,Angola,4.1,4.1.2,"Completion rate, primary education, male (%)",2013,53.70,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Sub-Saharan Africa,Angola,4.1,4.1.2,"Completion rate, primary education, male (%)",2017,56.20,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Sub-Saharan Africa,Angola,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2020,2.74,SOURCE:  ORCAMENTO GERAL DO ESTADO | 2020 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/aw4x/mjcw/~edisp/minfin1270875.pdf)
Sub-Saharan Africa,Angola,4.1,4.1.2,"Completion rate, primary education, male (%)",2015,63.39,SOURCE: Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.
Sub-Saharan Africa,Angola,4.1,4.1.2,"Completion rate, primary education, female (%)",2013,49.20,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Sub-Saharan Africa,Angola,4.2,4.2.4,"Net enrolment rate, early childhood education, male (%)",2016,34.48,
Sub-Saharan Africa,Angola,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2013,8.83,SOURCE:  ORCAMENTO GERAL DO ESTADO | 2013 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/zmlu/mdm1/~edisp/minfin035009.pdf)
Sub-Saharan Africa,Angola,4.1,4.1.2,"Completion rate, primary education, female (%)",2014,50.40,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Sub-Saharan Africa,Angola,4.2,4.2.4,"Net enrolment rate, pre-primary, both sexes (%)",2016,32.68,
Sub-Saharan Africa,Angola,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2022,2.33,SOURCE:  ORCAMENTO GERAL DO ESTADO | 2022 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/aw4x/mjcw/~edisp/minfin1270854.pdf)
Sub-Saharan Africa,Angola,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2017,2.47,SOURCE:  ORCAMENTO GERAL DO ESTADO | 2017 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/zmlu/mdm0/~edisp/minfin034910.pdf)
Sub-Saharan Africa,Angola,4.2,4.2.4,"Net enrolment rate, pre-primary, female (%)",2016,30.87,
Sub-Saharan Africa,Angola,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2023,7.73,SOURCE:  ORCAMENTO GERAL DO ESTADO | 2023 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/aw4z/mzg4/~edisp/minfin3388665.pdf)
Sub-Saharan Africa,Angola,4.1,4.1.2,"Completion rate, primary education, female (%)",2018,56.20,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Sub-Saharan Africa,Angola,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2016,6.55,SOURCE:  ORCAMENTO GERAL DO ESTADO | 2016 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/zmlu/mdm0/~edisp/minfin034916.pdf)
Latin America and the Caribbean,Anguilla,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2015,13.84,"SOURCE:  Estimates of Recurrent Revenue, Expenditure and Capital (http://www.gov.ai/documents/budget/2015%20Budget%20Final.pdf)"
Latin America and the Caribbean,Anguilla,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2017,3.65,"SOURCE:  Estimates of Recurrent Revenue, Expenditure and Capital (http://www.gov.ai/documents/budget/2019%20GOA%20Budget.pdf)"
Latin America and the Caribbean,Anguilla,4.1,4.1.4,"Out-of-school rate for children of primary school age, both sexes (%)",2019,2.15,
Latin America and the Caribbean,Anguilla,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2017,14.16,"SOURCE:  Estimates of Recurrent Revenue, Expenditure and Capital (http://www.gov.ai/documents/budget/2019%20GOA%20Budget.pdf)"
Latin America and the Caribbean,Anguilla,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2020,4.01,"SOURCE:  Estimates of Recurrent Revenue, Expenditure and Capital (http://www.gov.ai/documents/2021%20Budget.pdf ; http://www.gov.ai/documents/finance/2022%20Budget.pdf)"
Latin America and the Caribbean,Anguilla,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2021,3.55,"SOURCE:  Estimates of Recurrent Revenue, Expenditure and Capital (http://www.gov.ai/documents/2021%20Budget.pdf ; http://www.gov.ai/documents/finance/2022%20Budget.pdf)"
Latin America and the Caribbean,Anguilla,4.1,4.1.4,"Out-of-school rate for children of primary school age, female (%)",2019,2.16,
Latin America and the Caribbean,Anguilla,4.1,4.1.4,"Out-of-school rate for children of primary school age, male (%)",2019,2.15,
Latin America and the Caribbean,Anguilla,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2013,3.34,"SOURCE:  Estimates of Recurrent Revenue, Expenditure and Capital (http://www.gov.ai/documents/budget/Budget_2013.pdf)"
Latin America and the Caribbean,Anguilla,4.2,4.2.4,"Net enrolment rate, pre-primary, male (%)",2013,98.15,SOURCE:  Department of Education End of Year Report 2014-2015 (http://www.gov.ai/document_library.php?filter=dept&id=28)
Latin America and the Caribbean,Anguilla,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2013,13.92,"SOURCE:  Estimates of Recurrent Revenue, Expenditure and Capital (http://www.gov.ai/documents/budget/Budget_2013.pdf)"
Latin America and the Caribbean,Anguilla,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2014,3.01,"SOURCE:  Estimates of Recurrent Revenue, Expenditure and Capital (http://www.gov.ai/documents/budget/2014_Budget(FINAL).pdf)"
Latin America and the Caribbean,Anguilla,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2018,3.30,"SOURCE:  Estimates of Recurrent Revenue, Expenditure and Capital (http://www.gov.ai/documents/budget/2019%20GOA%20Budget.pdf)"
Latin America and the Caribbean,Anguilla,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2016,13.54,"SOURCE:  Estimates of Recurrent Revenue, Expenditure and Capital (http://www.gov.ai/documents/finance/Final%202016%20Budget.pdf)"
